average_song_duration_in_minitues, date
3.953333333333333, 2009-03-27
3.953333333333333, 2009-04-03
3.953333333333333, 2009-04-10
3.355233333333333, 2009-04-17
3.355233333333333, 2009-04-24
3.5462166666666666, 2009-05-01
3.5462166666666666, 2009-05-08
3.5462166666666666, 2009-05-15
4.190666666666667, 2009-05-22
2.95955, 2009-05-29
2.95955, 2009-06-05
4.190666666666667, 2009-06-12
3.2753333333333337, 2009-06-19
4.084, 2009-06-26
3.4288833333333333, 2009-07-03
3.43845, 2009-07-10
3.43845, 2009-07-17
3.326, 2009-07-24
3.326, 2009-07-31
4.818883333333333, 2009-08-07
3.5462166666666666, 2009-08-14
4.818883333333333, 2009-08-21
4.084, 2009-08-28
3.677116666666667, 2009-09-04
3.65555, 2009-09-11
3.046, 2009-09-18
3.10445, 2009-09-25
3.10445, 2009-10-02
3.10445, 2009-10-09
3.656, 2009-10-16
3.449116666666667, 2009-10-23
3.720883333333333, 2009-10-30
3.720883333333333, 2009-11-06
3.283783333333333, 2009-11-13
4.7395499999999995, 2009-11-20
0, 2009-11-27
4.457366666666667, 2009-12-04
4.457366666666667, 2009-12-11
4.909549999999999, 2009-12-18
5.226216666666667, 2009-12-25
3.60645, 2010-01-01
4.909549999999999, 2010-01-08
3.0384499999999997, 2010-01-15
3.0384499999999997, 2010-01-22
3.8057833333333333, 2010-01-29
3.8057833333333333, 2010-02-05
3.8057833333333333, 2010-02-12
5.508266666666667, 2010-02-19
5.508266666666667, 2010-02-26
3.3171166666666663, 2010-03-05
4.46755, 2010-03-12
4.46755, 2010-03-19
3.0366666666666666, 2010-03-26
3.0366666666666666, 2010-04-02
3.5113333333333334, 2010-04-09
3.5113333333333334, 2010-04-16
4.172883333333333, 2010-04-23
3.0519666666666665, 2010-04-30
8.789333333333333, 2010-05-07
8.789333333333333, 2010-05-14
8.789333333333333, 2010-05-21
3.58, 2010-05-28
3.9777833333333334, 2010-06-04
4.084, 2010-06-11
4.104, 2010-06-18
4.104, 2010-06-25
2.8853999999999997, 2010-07-02
2.8853999999999997, 2010-07-09
3.6333333333333333, 2010-07-16
3.58, 2010-07-23
4.531783333333333, 2010-07-30
3.421783333333333, 2010-08-06
4.1928833333333335, 2010-08-13
3.856666666666667, 2010-08-20
3.9534499999999997, 2010-08-27
3.3977833333333334, 2010-09-03
3.4068833333333335, 2010-09-10
3.449116666666667, 2010-09-17
3.449116666666667, 2010-09-24
4.4444333333333335, 2010-10-01
3.6593333333333335, 2010-10-08
3.712216666666667, 2010-10-15
3.712216666666667, 2010-10-22
4.4444333333333335, 2010-10-29
3.38045, 2010-11-05
3.9253333333333336, 2010-11-12
3.9253333333333336, 2010-11-19
3.8022833333333335, 2010-11-26
4.43255, 2010-12-03
4.43255, 2010-12-10
5.1273333333333335, 2010-12-17
3.7666666666666666, 2010-12-24
3.7666666666666666, 2010-12-31
3.7666666666666666, 2011-01-07
3.0536499999999998, 2011-01-14
3.720883333333333, 2011-01-21
3.720883333333333, 2011-01-28
3.4126666666666665, 2011-02-04
3.3231166666666665, 2011-02-11
3.3231166666666665, 2011-02-18
4.750666666666667, 2011-02-25
4.750666666666667, 2011-03-04
4.750666666666667, 2011-03-11
4.750666666666667, 2011-03-18
3.2920000000000003, 2011-03-25
4.750666666666667, 2011-04-01
3.84845, 2011-04-08
3.84845, 2011-04-15
4.36955, 2011-04-22
4.36955, 2011-04-29
4.36955, 2011-05-06
4.36955, 2011-05-13
3.1702166666666667, 2011-05-20
4.205116666666666, 2011-05-27
4.205116666666666, 2011-06-03
4.205116666666666, 2011-06-10
3.212, 2011-06-17
3.212, 2011-06-24
3.4346666666666668, 2011-07-01
3.4346666666666668, 2011-07-08
3.1926666666666668, 2011-07-15
3.303116666666667, 2011-07-22
3.303116666666667, 2011-07-29
3.6788833333333333, 2011-08-05
3.19755, 2011-08-12
4.47845, 2011-08-19
3.7513, 2011-08-26
3.0866666666666664, 2011-09-02
3.4032666666666667, 2011-09-09
3.102883333333333, 2011-09-16
3.3331166666666667, 2011-09-23
4.014666666666667, 2011-09-30
3.59375, 2011-10-07
3.0536499999999998, 2011-10-14
3.0536499999999998, 2011-10-21
3.0536499999999998, 2011-10-28
3.3278833333333333, 2011-11-04
3.3278833333333333, 2011-11-11
3.0536499999999998, 2011-11-18
3.0536499999999998, 2011-11-25
3.0536499999999998, 2011-12-02
3.3274833333333333, 2011-12-09
3.378216666666667, 2011-12-16
3.4177833333333334, 2011-12-23
2.859783333333333, 2011-12-30
4.645316666666667, 2012-01-06
4.13555, 2012-01-13
3.8615500000000003, 2012-01-20
3.8615500000000003, 2012-01-27
3.4658666666666664, 2012-02-03
4.084, 2012-02-10
4.082883333333333, 2012-02-17
3.1926666666666668, 2012-02-24
4.082883333333333, 2012-03-02
4.082883333333333, 2012-03-09
4.082883333333333, 2012-03-16
4.082883333333333, 2012-03-23
3.6026666666666665, 2012-03-30
3.7995500000000004, 2012-04-06
3.2233333333333336, 2012-04-13
3.2233333333333336, 2012-04-20
