average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.606788125,0.521739375,01,2013-01,2013
3.6598780208333332,0.5417337499999999,02,2013-02,2013
3.7567385,0.5287775,03,2013-03,2013
3.7517854430379747,0.5836208860759495,04,2013-04,2013
3.7773005982905987,0.5679820512820509,05,2013-05,2013
3.67245664556962,0.5339094936708858,06,2013-06,2013
3.580032278481013,0.5196974683544303,07,2013-07,2013
3.731769627749577,0.5507309644670048,08,2013-08,2013
3.8066566878980894,0.4999999999999999,09,2013-09,2013
3.8190213541666664,0.47191125000000006,10,2013-10,2013
3.701392583333333,0.4636525000000001,11,2013-11,2013
3.869193854166667,0.4349668749999999,12,2013-12,2013
