chart_date,song_id,chart_pos
2020/06/26,7ytR5pFWmSjzHJIeQkgog4,1
2020/06/26,24ySl2hOPGCDcxBxFIqWBu,2
2020/06/26,3H7ihDc1dqLriiWXwsc2po,3
2020/06/26,1xQ6trAsedVPCdbtDAmk0c,4
2020/06/26,4slSrbTK1sNK4I1mDYEthf,5
2020/06/26,4cB4ugFuITeyiK6k4jzqFi,6
2020/06/26,6UelLqGlWMcVH1E5c4H7lY,7
2020/06/26,5v4GgrXPMghOnBBLmveLac,8
2020/06/26,7uBaKZZVK0OZ6cqFGpGRXI,9
2020/06/26,66W1rVTnEv86dIkFhoiElg,10
2020/06/26,3B0WbRucJ6ZIla2G9IVt2E,11
2020/06/26,127QTOFJsJQp5LbJbu3A1y,12
2020/06/26,2oGuHlRVhxCVGP1YVKBUDG,13
2020/06/26,0VjIjW4GlUZAMYd2vXMi3b,14
2020/06/26,1raaNykBg1bDnWENUiglUA,15
2020/06/26,5RqR4ZCCKJDcBLIn4sih9l,16
2020/06/26,5aYWnrsYvJk8NT7PmUcxVN,17
2020/06/26,3H3r2nKWa3Yk5gt8xgmsEt,18
2020/06/26,4HBZA5flZLE435QTztThqH,19
2020/06/26,3AMxuq6id3YGB57eWeheZQ,20
2020/06/26,76nqCfJOcFFWBJN32PAksn,21
2020/06/26,62aP9fBQKYKxi7PDXwcUAS,22
2020/06/26,4NhDYoQTYCdWHTvlbGVgwo,23
2020/06/26,7fPuWrlpwDcHm5aHCH5D9t,24
2020/06/26,7eJMfftS33KTjuF7lTsMCx,25
2020/06/26,2XU0oxnq2qxCpomAAuJY8K,26
2020/06/26,3fEoJxnPpfIHwFHKiFtqbA,27
2020/06/26,6pRlNmiZ15mI0D0Y9VBjDe,29
2020/06/26,1IIKrJVP1C9N7iPtG6eOsK,30
2020/06/26,3dVvWnj4D8JGkKvo6Hucso,31
2020/06/26,2ZEq4HT450Ye9IFGPTl9qV,32
2020/06/26,3Z8FwOEN59mRMxDCtb8N0A,33
2020/06/26,0g5t31rKHDPl4XokIixcBK,34
2020/06/26,3Dv1eDb0MEgF93GpLXlucZ,35
2020/06/26,2iRniYXjMHKmwXqA2jYXP7,36
2020/06/26,0tgVpDi06FyKpA1z0VMD4v,37
2020/06/26,3lay6f81Lhy0qp2Uvp4cNJ,38
2020/06/26,6WrI0LAC5M1Rw2MnX2ZvEg,39
2020/06/26,7yBbV2k2S2uhaQc24NF2xt,40
2020/06/19,7ytR5pFWmSjzHJIeQkgog4,1
2020/06/19,24ySl2hOPGCDcxBxFIqWBu,2
2020/06/19,4slSrbTK1sNK4I1mDYEthf,3
2020/06/19,3H7ihDc1dqLriiWXwsc2po,4
2020/06/19,4cB4ugFuITeyiK6k4jzqFi,5
2020/06/19,5v4GgrXPMghOnBBLmveLac,6
2020/06/19,127QTOFJsJQp5LbJbu3A1y,7
2020/06/19,66W1rVTnEv86dIkFhoiElg,8
2020/06/19,3B0WbRucJ6ZIla2G9IVt2E,9
2020/06/19,7uBaKZZVK0OZ6cqFGpGRXI,10
2020/06/19,6UelLqGlWMcVH1E5c4H7lY,11
2020/06/19,3dVvWnj4D8JGkKvo6Hucso,12
2020/06/19,0VjIjW4GlUZAMYd2vXMi3b,13
2020/06/19,1raaNykBg1bDnWENUiglUA,14
2020/06/19,5aYWnrsYvJk8NT7PmUcxVN,15
2020/06/19,3H3r2nKWa3Yk5gt8xgmsEt,16
2020/06/19,5RqR4ZCCKJDcBLIn4sih9l,17
2020/06/19,4HBZA5flZLE435QTztThqH,18
2020/06/19,3AMxuq6id3YGB57eWeheZQ,19
2020/06/19,2kJwzbxV2ppxnQoYw4GLBZ,20
2020/06/19,4NhDYoQTYCdWHTvlbGVgwo,21
2020/06/19,1xQ6trAsedVPCdbtDAmk0c,22
2020/06/19,7fPuWrlpwDcHm5aHCH5D9t,23
2020/06/19,3fEoJxnPpfIHwFHKiFtqbA,24
2020/06/19,7eJMfftS33KTjuF7lTsMCx,25
2020/06/19,76nqCfJOcFFWBJN32PAksn,26
2020/06/19,62aP9fBQKYKxi7PDXwcUAS,27
2020/06/19,2XU0oxnq2qxCpomAAuJY8K,28
2020/06/19,6pRlNmiZ15mI0D0Y9VBjDe,29
2020/06/19,3Dv1eDb0MEgF93GpLXlucZ,30
2020/06/19,0oS2O93E2VLWwIyigtc8Ci,31
2020/06/19,1IIKrJVP1C9N7iPtG6eOsK,33
2020/06/19,3lay6f81Lhy0qp2Uvp4cNJ,34
2020/06/19,7yBbV2k2S2uhaQc24NF2xt,35
2020/06/19,2ZEq4HT450Ye9IFGPTl9qV,36
2020/06/19,2iRniYXjMHKmwXqA2jYXP7,37
2020/06/19,6WrI0LAC5M1Rw2MnX2ZvEg,38
2020/06/19,3Z8FwOEN59mRMxDCtb8N0A,39
2020/06/19,0tgVpDi06FyKpA1z0VMD4v,40
2020/06/12,7ytR5pFWmSjzHJIeQkgog4,1
2020/06/12,24ySl2hOPGCDcxBxFIqWBu,2
2020/06/12,4slSrbTK1sNK4I1mDYEthf,3
2020/06/12,3H7ihDc1dqLriiWXwsc2po,4
2020/06/12,7eJMfftS33KTjuF7lTsMCx,5
2020/06/12,4cB4ugFuITeyiK6k4jzqFi,6
2020/06/12,127QTOFJsJQp5LbJbu3A1y,7
2020/06/12,5v4GgrXPMghOnBBLmveLac,8
2020/06/12,3B0WbRucJ6ZIla2G9IVt2E,9
2020/06/12,0VjIjW4GlUZAMYd2vXMi3b,10
2020/06/12,1raaNykBg1bDnWENUiglUA,11
2020/06/12,66W1rVTnEv86dIkFhoiElg,12
2020/06/12,7uBaKZZVK0OZ6cqFGpGRXI,13
2020/06/12,5aYWnrsYvJk8NT7PmUcxVN,14
2020/06/12,6UelLqGlWMcVH1E5c4H7lY,15
2020/06/12,4HBZA5flZLE435QTztThqH,16
2020/06/12,3H3r2nKWa3Yk5gt8xgmsEt,17
2020/06/12,5RqR4ZCCKJDcBLIn4sih9l,18
2020/06/12,2kJwzbxV2ppxnQoYw4GLBZ,19
2020/06/12,7fPuWrlpwDcHm5aHCH5D9t,20
2020/06/12,3fEoJxnPpfIHwFHKiFtqbA,21
2020/06/12,3jjujdWJ72nww5eGnfs2E7,22
2020/06/12,4NhDYoQTYCdWHTvlbGVgwo,23
2020/06/12,2XU0oxnq2qxCpomAAuJY8K,24
2020/06/12,62aP9fBQKYKxi7PDXwcUAS,25
2020/06/12,6pRlNmiZ15mI0D0Y9VBjDe,26
2020/06/12,7yBbV2k2S2uhaQc24NF2xt,27
2020/06/12,3Dv1eDb0MEgF93GpLXlucZ,28
2020/06/12,3lay6f81Lhy0qp2Uvp4cNJ,29
2020/06/12,3AMxuq6id3YGB57eWeheZQ,30
2020/06/12,76nqCfJOcFFWBJN32PAksn,31
2020/06/12,78qd8dvwea0Gosb6Fe6j3k,32
2020/06/12,7szuecWAPwGoV1e5vGu8tl,33
2020/06/12,6R6ZoHTypt5lt68MWbzZXv,34
2020/06/12,2iRniYXjMHKmwXqA2jYXP7,35
2020/06/12,2ZEq4HT450Ye9IFGPTl9qV,38
2020/06/12,6WrI0LAC5M1Rw2MnX2ZvEg,39
2020/06/12,1IIKrJVP1C9N7iPtG6eOsK,40
