song_id,album_id,artist_id,name,track_no,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7ytR5pFWmSjzHJIeQkgog4,null,4r63FhuTkUYltbVAg5TQnk,ROCKSTAR (feat. Roddy Ricch),null,0.247,0.746,181733,0.69,0.0,11,0.101,-7.956,1.0,0.164,89.977,4.0,0.497
24ySl2hOPGCDcxBxFIqWBu,null,1HY2Jd0NmPuamShAr6KMms,Rain On Me (with Ariana Grande),null,0.021,0.672,182200,0.855,0.0,9,0.323,-3.764,1.0,0.0397,123.056,4.0,0.646
3H7ihDc1dqLriiWXwsc2po,null,0u6GtibW46tFX7koQ6uNJZ,Breaking Me,null,0.223,0.789,166794,0.72,0.0,8,0.129,-5.652,0.0,0.218,122.031,4.0,0.664
1xQ6trAsedVPCdbtDAmk0c,null,56mfhUDKa1vec6rSLZV5Eg,Savage Love (Laxed - Siren Beat),null,0.234,0.767,171375,0.481,0.0,0,0.269,-8.52,0.0,0.0803,150.076,4.0,0.761
4slSrbTK1sNK4I1mDYEthf,null,71jSVPQ6yskfyvWeiwvT5s,Rover (feat. DTG),null,0.496,0.613,167917,0.624,0.0,11,0.283,-6.66,0.0,0.206,62.948,5.0,0.804
4cB4ugFuITeyiK6k4jzqFi,null,2PJEagPIxaBugeMjIyKVXF,Rain,null,0.0262,0.871,183066,0.87,1.98e-06,9,0.109,-4.797,1.0,0.202,150.147,4.0,0.83
6UelLqGlWMcVH1E5c4H7lY,null,6KImCVD70vtIoJWnq6nGn3,Watermelon Sugar,null,0.122,0.548,174000,0.816,0.0,0,0.335,-4.209,1.0,0.0465,95.39,4.0,0.557
5v4GgrXPMghOnBBLmveLac,null,181bsRPaVXVlUKXrxwZfHK,Savage Remix (feat. Beyoncé),null,0.016,0.822,242001,0.743,0.0,10,0.127,-4.772,0.0,0.28,84.459,4.0,0.636
7uBaKZZVK0OZ6cqFGpGRXI,null,4Euia7UzdRshy1DJOSMTcs,Don’t Need Love (with GRACEY),null,0.407,0.702,195480,0.716,0.0,7,0.0749,-5.378,0.0,0.0867,123.893,4.0,0.607
66W1rVTnEv86dIkFhoiElg,null,4ofCBoyEiGSePFAG500xev,Secrets,null,0.0412,0.848,176767,0.768,0.000785,6,0.195,-5.386,0.0,0.0373,118.961,4.0,0.777
3B0WbRucJ6ZIla2G9IVt2E,null,7b79bQFziJFedJb75k6hFt,I Dunno (feat. Dutchavelli & Stormzy),null,0.0954,0.821,178138,0.666,0.0,1,0.319,-7.237,1.0,0.342,145.066,4.0,0.739
127QTOFJsJQp5LbJbu3A1y,null,3TVXtAsR1Inumwj472S9r4,Toosie Slide,null,0.321,0.834,247059,0.454,6.15e-06,1,0.114,-9.75,0.0,0.201,81.618,4.0,0.837
2oGuHlRVhxCVGP1YVKBUDG,null,4PCeJ2EIn3YtzYYRsHHWyy,Burning (feat. M Huncho & Dutchavelli),null,0.0388,0.866,169714,0.48,2.62e-05,1,0.109,-8.885,1.0,0.264,140.11,4.0,0.473
0VjIjW4GlUZAMYd2vXMi3b,null,1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,null,0.00146,0.514,200040,0.73,9.54e-05,1,0.0897,-5.934,1.0,0.0598,171.005,4.0,0.334
1raaNykBg1bDnWENUiglUA,null,6M2wZ9GZgrQXHCFfjv46we,Break My Heart,null,0.167,0.73,221820,0.729,1.39e-06,4,0.349,-3.434,0.0,0.0886,113.012,4.0,0.467
5RqR4ZCCKJDcBLIn4sih9l,null,1XLWox9w1Yvbodui0SRhUQ,Party Girl,null,0.749,0.728,147800,0.431,0.0,6,0.0996,-9.966,0.0,0.0622,130.022,4.0,0.629
5aYWnrsYvJk8NT7PmUcxVN,null,2gduEC76ry33RVurAvT05p,Flowers (feat. Jaykae),null,0.015,0.672,197209,0.925,0.0,5,0.289,-4.517,0.0,0.0774,126.096,4.0,0.447
3H3r2nKWa3Yk5gt8xgmsEt,null,6L1XC7NrmgWRlwAeLJvVtA,This City,null,0.731,0.602,194853,0.377,0.0,11,0.0808,-6.213,1.0,0.0446,73.877,4.0,0.518
